Value Percentile TotalCount 1/(1-Percentile)
16.00 0.999997 1999994 291271.11
16.00 0.999997 1999994 308404.71
16.00 0.999997 1999994 327680.00
16.06 0.999997 1999995 349525.33
16.06 0.999997 1999995 374491.43
16.13 0.999998 1999996 403298.46
16.13 0.999998 1999996 436906.67
16.13 0.999998 1999996 476625.45
16.19 0.999998 1999997 524288.00
16.19 0.999998 1999997 551882.11
16.19 0.999998 1999997 582542.22
16.19 0.999998 1999997 616809.41
16.19 0.999998 1999997 655360.00
16.25 0.999999 1999998 699050.67
16.25 0.999999 1999998 748982.86
16.25 0.999999 1999998 806596.92
16.25 0.999999 1999998 873813.33
16.25 0.999999 1999998 953250.91
16.32 0.999999 1999999 1048576.00
16.32 0.999999 1999999 1103764.21
16.32 0.999999 1999999 1165084.44
16.32 0.999999 1999999 1233618.82
16.32 0.999999 1999999 1310720.00
16.32 0.999999 1999999 1398101.33
16.32 0.999999 1999999 1497965.71
16.32 0.999999 1999999 1613193.85
16.32 0.999999 1999999 1747626.67
16.32 0.999999 1999999 1906501.82
16.51 1.000000 2000000 2097152.00
16.51 1.000000 2000000 inf
