Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 12 1.00
1.46 0.050000 109094 1.05
1.49 0.100000 222241 1.11
1.50 0.150000 349244 1.18
1.51 0.200000 428942 1.25
1.52 0.250000 518882 1.33
1.53 0.300000 617265 1.43
1.53 0.350000 721589 1.54
1.54 0.400000 827920 1.67
1.55 0.450000 931182 1.82
1.56 0.500000 1028980 2.00
1.57 0.525000 1118565 2.11
1.57 0.550000 1118565 2.22
1.57 0.575000 1198035 2.35
1.58 0.600000 1267082 2.50
1.58 0.625000 1267082 2.67
1.59 0.650000 1325028 2.86
1.60 0.675000 1372048 3.08
1.61 0.700000 1410483 3.33
1.62 0.725000 1465438 3.64
1.65 0.750000 1509062 4.00
1.67 0.762500 1527334 4.21
1.86 0.775000 1550968 4.44
1.94 0.787500 1576507 4.71
1.98 0.800000 1600913 5.00
2.01 0.812500 1626620 5.33
2.04 0.825000 1656873 5.71
2.06 0.837500 1681980 6.15
2.10 0.850000 1718429 6.67
2.11 0.862500 1737101 7.27
2.13 0.875000 1756039 8.00
2.14 0.881250 1774897 8.42
2.16 0.887500 1793102 8.89
2.16 0.893750 1793102 9.41
2.17 0.900000 1810486 10.00
2.19 0.906250 1826895 10.67
2.19 0.912500 1826895 11.43
2.21 0.918750 1841543 12.31
2.22 0.925000 1854471 13.33
2.24 0.931250 1865498 14.55
2.27 0.937500 1881549 16.00
2.27 0.940625 1881549 16.84
2.30 0.943750 1891107 17.78
2.32 0.946875 1893925 18.82
2.45 0.950000 1900136 20.00
2.77 0.953125 1906945 21.33
2.81 0.956250 1914687 22.86
2.85 0.959375 1923077 24.62
2.86 0.962500 1928224 26.67
2.88 0.965625 1933860 29.09
2.90 0.968750 1939937 32.00
2.91 0.970313 1946326 33.68
2.91 0.971875 1946326 35.56
2.93 0.973437 1952919 37.65
2.93 0.975000 1952919 40.00
2.94 0.976562 1959447 42.67
2.94 0.978125 1959447 45.71
2.94 0.979688 1959447 49.23
2.96 0.981250 1965554 53.33
2.98 0.982812 1971228 58.18
2.98 0.984375 1971228 64.00
2.98 0.985156 1971228 67.37
2.99 0.985938 1976294 71.11
2.99 0.986719 1976294 75.29
2.99 0.987500 1976294 80.00
3.01 0.988281 1980646 85.33
3.01 0.989062 1980646 91.43
3.01 0.989844 1980646 98.46
3.02 0.990625 1984207 106.67
3.02 0.991406 1984207 116.36
3.04 0.992188 1987127 128.00
3.04 0.992578 1987127 134.74
3.04 0.992969 1987127 142.22
3.04 0.993359 1987127 150.59
3.06 0.993750 1989346 160.00
3.06 0.994141 1989346 170.67
3.06 0.994531 1989346 182.86
3.07 0.994922 1991017 196.92
3.07 0.995313 1991017 213.33
3.09 0.995703 1992236 232.73
3.09 0.996094 1992236 256.00
3.10 0.996289 1993078 269.47
3.10 0.996484 1993078 284.44
3.12 0.996680 1993670 301.18
3.13 0.996875 1994069 320.00
3.15 0.997070 1994304 341.33
3.18 0.997266 1994570 365.71
3.31 0.997461 1994935 393.85
3.52 0.997656 1995334 426.67
3.74 0.997852 1995714 465.45
4.00 0.998047 1996112 512.00
4.13 0.998145 1996319 538.95
4.25 0.998242 1996502 568.89
4.38 0.998340 1996694 602.35
4.54 0.998437 1996923 640.00
4.67 0.998535 1997112 682.67
4.80 0.998633 1997304 731.43
4.93 0.998730 1997495 787.69
5.05 0.998828 1997690 853.33
5.18 0.998926 1997852 930.91
5.31 0.999023 1998054 1024.00
5.38 0.999072 1998170 1077.89
5.44 0.999121 1998272 1137.78
5.50 0.999170 1998377 1204.71
5.57 0.999219 1998461 1280.00
5.63 0.999268 1998556 1365.33
5.70 0.999316 1998634 1462.86
5.79 0.999365 1998750 1575.38
5.89 0.999414 1998870 1706.67
5.95 0.999463 1998955 1861.82
6.01 0.999512 1999031 2048.00
6.05 0.999536 1999075 2155.79
6.11 0.999561 1999146 2275.56
6.14 0.999585 1999174 2409.41
6.21 0.999609 1999227 2560.00
6.27 0.999634 1999288 2730.67
6.33 0.999658 1999333 2925.71
6.40 0.999683 1999378 3150.77
6.46 0.999707 1999435 3413.33
6.53 0.999731 1999473 3723.64
6.59 0.999756 1999513 4096.00
6.66 0.999768 1999544 4311.58
6.72 0.999780 1999568 4551.11
6.78 0.999792 1999594 4818.82
6.85 0.999805 1999617 5120.00
6.94 0.999817 1999643 5461.33
7.01 0.999829 1999664 5851.43
7.10 0.999841 1999688 6301.54
7.20 0.999854 1999709 6826.67
7.33 0.999866 1999734 7447.27
7.46 0.999878 1999756 8192.00
7.68 0.999884 1999774 8623.16
7.81 0.999890 1999782 9102.22
8.26 0.999896 1999795 9637.65
10.30 0.999902 1999806 10240.00
10.56 0.999908 1999819 10922.67
10.81 0.999915 1999831 11702.86
