Value Percentile TotalCount 1/(1-Percentile)
33.28 0.999997 4999986 291271.11
33.28 0.999997 4999986 308404.71
33.28 0.999997 4999986 327680.00
33.28 0.999997 4999986 349525.33
33.53 0.999997 4999987 374491.43
34.05 0.999998 4999990 403298.46
34.05 0.999998 4999990 436906.67
34.05 0.999998 4999990 476625.45
34.81 0.999998 4999991 524288.00
34.81 0.999998 4999991 551882.11
35.07 0.999998 4999992 582542.22
35.07 0.999998 4999992 616809.41
35.58 0.999998 4999994 655360.00
35.58 0.999999 4999994 699050.67
35.58 0.999999 4999994 748982.86
35.58 0.999999 4999994 806596.92
36.09 0.999999 4999995 873813.33
36.09 0.999999 4999995 953250.91
36.61 0.999999 4999996 1048576.00
36.61 0.999999 4999996 1103764.21
36.61 0.999999 4999996 1165084.44
36.61 0.999999 4999996 1233618.82
36.86 0.999999 4999997 1310720.00
36.86 0.999999 4999997 1398101.33
36.86 0.999999 4999997 1497965.71
36.86 0.999999 4999997 1613193.85
37.38 0.999999 4999998 1747626.67
37.38 0.999999 4999998 1906501.82
37.38 1.000000 4999998 2097152.00
37.38 1.000000 4999998 2207528.42
37.38 1.000000 4999998 2330168.89
37.38 1.000000 4999998 2467237.65
38.14 1.000000 4999999 2621440.00
38.14 1.000000 4999999 2796202.67
38.14 1.000000 4999999 2995931.43
38.14 1.000000 4999999 3226387.69
38.14 1.000000 4999999 3495253.33
38.14 1.000000 4999999 3813003.64
38.14 1.000000 4999999 4194304.00
38.14 1.000000 4999999 4415056.84
38.14 1.000000 4999999 4660337.78
38.14 1.000000 4999999 4934475.29
38.66 1.000000 5000000 5242880.00
38.66 1.000000 5000000 inf
