Value Percentile TotalCount 1/(1-Percentile)
12.29 0.999997 1999994 291271.11
12.29 0.999997 1999994 308404.71
12.29 0.999997 1999994 327680.00
12.99 0.999997 1999995 349525.33
12.99 0.999997 1999995 374491.43
13.12 0.999998 1999997 403298.46
13.12 0.999998 1999997 436906.67
13.12 0.999998 1999997 476625.45
13.12 0.999998 1999997 524288.00
13.12 0.999998 1999997 551882.11
13.12 0.999998 1999997 582542.22
13.12 0.999998 1999997 616809.41
13.12 0.999998 1999997 655360.00
13.25 0.999999 1999999 699050.67
13.25 0.999999 1999999 748982.86
13.25 0.999999 1999999 806596.92
13.25 0.999999 1999999 873813.33
13.25 0.999999 1999999 953250.91
13.25 0.999999 1999999 1048576.00
13.25 0.999999 1999999 1103764.21
13.25 0.999999 1999999 1165084.44
13.25 0.999999 1999999 1233618.82
13.25 0.999999 1999999 1310720.00
13.25 0.999999 1999999 1398101.33
13.25 0.999999 1999999 1497965.71
13.25 0.999999 1999999 1613193.85
13.25 0.999999 1999999 1747626.67
13.25 0.999999 1999999 1906501.82
13.31 1.000000 2000000 2097152.00
13.31 1.000000 2000000 inf
