Value Percentile TotalCount 1/(1-Percentile)
34.30 0.999997 4999984 291271.11
34.30 0.999997 4999984 308404.71
34.56 0.999997 4999986 327680.00
34.56 0.999997 4999986 349525.33
34.81 0.999997 4999988 374491.43
34.81 0.999998 4999988 403298.46
35.58 0.999998 4999990 436906.67
35.58 0.999998 4999990 476625.45
35.84 0.999998 4999991 524288.00
35.84 0.999998 4999991 551882.11
36.09 0.999998 4999992 582542.22
36.09 0.999998 4999992 616809.41
205.82 0.999998 4999995 655360.00
205.82 0.999999 4999995 699050.67
205.82 0.999999 4999995 748982.86
205.82 0.999999 4999995 806596.92
205.82 0.999999 4999995 873813.33
205.82 0.999999 4999995 953250.91
208.90 0.999999 5000000 1048576.00
208.90 1.000000 5000000 inf
