Value Percentile TotalCount 1/(1-Percentile)
36.09 0.999997 1999996 291271.11
36.09 0.999997 1999996 308404.71
36.09 0.999997 1999996 327680.00
36.09 0.999997 1999996 349525.33
36.09 0.999997 1999996 374491.43
36.09 0.999998 1999996 403298.46
36.09 0.999998 1999996 436906.67
36.09 0.999998 1999996 476625.45
36.35 0.999998 2000000 524288.00
36.35 1.000000 2000000 inf
