Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 15 1.00
1.41 0.050000 118614 1.05
1.43 0.100000 220400 1.11
1.45 0.150000 329129 1.18
1.46 0.200000 470266 1.25
1.47 0.250000 551166 1.33
1.48 0.300000 635704 1.43
1.49 0.350000 722089 1.54
1.50 0.400000 807669 1.67
1.51 0.450000 966393 1.82
1.52 0.500000 1035480 2.00
1.53 0.525000 1098065 2.11
1.53 0.550000 1153109 2.22
1.53 0.575000 1153109 2.35
1.54 0.600000 1200034 2.50
1.56 0.625000 1275791 2.67
1.57 0.650000 1305404 2.86
1.58 0.675000 1351492 3.08
1.61 0.700000 1405942 3.33
1.76 0.725000 1450499 3.64
1.88 0.750000 1501570 4.00
1.91 0.762500 1526571 4.21
1.94 0.775000 1556377 4.44
1.97 0.787500 1581353 4.71
1.99 0.800000 1608596 5.00
2.01 0.812500 1627605 5.33
2.03 0.825000 1657115 5.71
2.05 0.837500 1677329 6.15
2.08 0.850000 1717545 6.67
2.10 0.862500 1737240 7.27
2.11 0.875000 1755841 8.00
2.13 0.881250 1773191 8.42
2.14 0.887500 1788978 8.89
2.14 0.893750 1788978 9.41
2.16 0.900000 1803030 10.00
2.17 0.906250 1814894 10.67
2.19 0.912500 1825186 11.43
2.22 0.918750 1840808 12.31
2.25 0.925000 1851297 13.33
2.33 0.931250 1863741 14.55
2.59 0.937500 1878145 16.00
2.61 0.940625 1885048 16.84
2.62 0.943750 1893005 17.78
2.64 0.946875 1899978 18.82
2.65 0.950000 1904953 20.00
2.67 0.953125 1908841 21.33
2.69 0.956250 1912561 22.86
2.72 0.959375 1921132 24.62
2.73 0.962500 1926070 26.67
2.75 0.965625 1931341 29.09
2.78 0.968750 1942766 32.00
2.78 0.970313 1942766 33.68
2.80 0.971875 1948720 35.56
2.80 0.973437 1948720 37.65
2.81 0.975000 1954498 40.00
2.81 0.976562 1954498 42.67
2.83 0.978125 1960046 45.71
2.83 0.979688 1960046 49.23
2.85 0.981250 1965212 53.33
2.86 0.982812 1970078 58.18
2.86 0.984375 1970078 64.00
2.88 0.985156 1974308 67.37
2.88 0.985938 1974308 71.11
2.88 0.986719 1974308 75.29
2.90 0.987500 1977935 80.00
2.90 0.988281 1977935 85.33
2.91 0.989062 1981016 91.43
2.91 0.989844 1981016 98.46
2.93 0.990625 1983744 106.67
2.93 0.991406 1983744 116.36
2.94 0.992188 1985890 128.00
2.94 0.992578 1985890 134.74
2.96 0.992969 1987561 142.22
2.96 0.993359 1987561 150.59
2.96 0.993750 1987561 160.00
2.98 0.994141 1988945 170.67
2.99 0.994531 1989958 182.86
2.99 0.994922 1989958 196.92
3.01 0.995313 1990732 213.33
3.04 0.995703 1991682 232.73
3.09 0.996094 1992321 256.00
3.15 0.996289 1992593 269.47
3.36 0.996484 1992987 284.44
3.55 0.996680 1993373 301.18
3.71 0.996875 1993751 320.00
3.81 0.997070 1994186 341.33
4.01 0.997266 1994553 365.71
4.32 0.997461 1994951 393.85
4.61 0.997656 1995337 426.67
4.86 0.997852 1995707 465.45
5.09 0.998047 1996129 512.00
5.15 0.998145 1996518 538.95
5.15 0.998242 1996518 568.89
5.18 0.998340 1996822 602.35
5.21 0.998437 1997167 640.00
5.21 0.998535 1997167 682.67
5.25 0.998633 1997518 731.43
5.25 0.998730 1997518 787.69
5.28 0.998828 1997801 853.33
5.31 0.998926 1997987 930.91
5.34 0.999023 1998110 1024.00
5.38 0.999072 1998187 1077.89
5.41 0.999121 1998252 1137.78
5.47 0.999170 1998365 1204.71
5.54 0.999219 1998457 1280.00
5.60 0.999268 1998537 1365.33
5.70 0.999316 1998648 1462.86
5.79 0.999365 1998763 1575.38
5.86 0.999414 1998840 1706.67
5.95 0.999463 1998951 1861.82
6.05 0.999512 1999050 2048.00
6.08 0.999536 1999081 2155.79
6.14 0.999561 1999130 2275.56
6.21 0.999585 1999176 2409.41
6.27 0.999609 1999226 2560.00
6.37 0.999634 1999291 2730.67
6.40 0.999658 1999324 2925.71
6.50 0.999683 1999376 3150.77
6.59 0.999707 1999425 3413.33
6.66 0.999731 1999469 3723.64
6.78 0.999756 1999520 4096.00
6.85 0.999768 1999539 4311.58
6.91 0.999780 1999564 4551.11
6.97 0.999792 1999588 4818.82
7.07 0.999805 1999621 5120.00
7.13 0.999817 1999641 5461.33
7.26 0.999829 1999667 5851.43
7.36 0.999841 1999686 6301.54
7.52 0.999854 1999710 6826.67
7.71 0.999866 1999737 7447.27
7.93 0.999878 1999758 8192.00
8.06 0.999884 1999770 8623.16
8.32 0.999890 1999786 9102.22
8.57 0.999896 1999794 9637.65
30.08 0.999902 1999813 10240.00
30.21 0.999908 1999819 10922.67
30.46 0.999915 1999832 11702.86
30.72 0.999921 1999852 12603.08
30.85 0.999927 1999864 13653.33
30.98 0.999933 1999875 14894.55
31.10 0.999939 1999887 16384.00
31.10 0.999942 1999887 17246.32
31.23 0.999945 1999901 18204.44
31.23 0.999948 1999901 19275.29
31.36 0.999951 1999907 20480.00
31.49 0.999954 1999911 21845.33
31.61 0.999957 1999918 23405.71
31.74 0.999960 1999927 25206.15
31.74 0.999963 1999927 27306.67
31.87 0.999966 1999939 29789.09
31.87 0.999969 1999939 32768.00
32.00 0.999971 1999952 34492.63
32.00 0.999973 1999952 36408.89
32.00 0.999974 1999952 38550.59
32.00 0.999976 1999952 40960.00
32.13 0.999977 1999964 43690.67
32.13 0.999979 1999964 46811.43
32.13 0.999980 1999964 50412.31
32.13 0.999982 1999964 54613.33
32.26 0.999983 1999972 59578.18
32.26 0.999985 1999972 65536.00
32.26 0.999986 1999972 68985.26
