Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 1 1.00
1.41 0.050000 106813 1.05
1.44 0.100000 225780 1.11
1.46 0.150000 331661 1.18
1.47 0.200000 472635 1.25
1.48 0.250000 554459 1.33
1.49 0.300000 641830 1.43
1.50 0.350000 730702 1.54
1.50 0.400000 819273 1.67
1.51 0.450000 904575 1.82
1.53 0.500000 1058020 2.00
1.53 0.525000 1058020 2.11
1.53 0.550000 1123134 2.22
1.54 0.575000 1179447 2.35
1.55 0.600000 1228851 2.50
1.56 0.625000 1270976 2.67
1.57 0.650000 1307018 2.86
1.58 0.675000 1363610 3.08
1.60 0.700000 1405182 3.33
1.63 0.725000 1453790 3.64
1.80 0.750000 1500051 4.00
1.87 0.762500 1525251 4.21
1.92 0.775000 1555208 4.44
1.95 0.787500 1581756 4.71
1.98 0.800000 1604814 5.00
2.00 0.812500 1630342 5.33
2.02 0.825000 1657811 5.71
2.04 0.837500 1677106 6.15
2.06 0.850000 1706859 6.67
2.08 0.862500 1727005 7.27
2.11 0.875000 1766568 8.00
2.11 0.881250 1766568 8.42
2.13 0.887500 1785229 8.89
2.14 0.893750 1802386 9.41
2.14 0.900000 1802386 10.00
2.16 0.906250 1817862 10.67
2.17 0.912500 1831457 11.43
2.19 0.918750 1843175 12.31
2.21 0.925000 1853227 13.33
2.24 0.931250 1869131 14.55
2.25 0.937500 1875278 16.00
2.29 0.940625 1884343 16.84
2.30 0.943750 1887541 17.78
2.37 0.946875 1894936 18.82
2.61 0.950000 1900320 20.00
2.69 0.953125 1907190 21.33
2.72 0.956250 1913551 22.86
2.75 0.959375 1922395 24.62
2.77 0.962500 1927588 26.67
2.78 0.965625 1933203 29.09
2.80 0.968750 1939172 32.00
2.81 0.970313 1945253 33.68
2.81 0.971875 1945253 35.56
2.83 0.973437 1951233 37.65
2.83 0.975000 1951233 40.00
2.85 0.976562 1957105 42.67
2.85 0.978125 1957105 45.71
2.86 0.979688 1962696 49.23
2.86 0.981250 1962696 53.33
2.88 0.982812 1967812 58.18
2.90 0.984375 1972600 64.00
2.90 0.985156 1972600 67.37
2.90 0.985938 1972600 71.11
2.91 0.986719 1976711 75.29
2.91 0.987500 1976711 80.00
2.91 0.988281 1976711 85.33
2.93 0.989062 1980287 91.43
2.93 0.989844 1980287 98.46
2.94 0.990625 1983393 106.67
2.94 0.991406 1983393 116.36
2.96 0.992188 1985972 128.00
2.96 0.992578 1985972 134.74
2.96 0.992969 1985972 142.22
2.98 0.993359 1988096 150.59
2.98 0.993750 1988096 160.00
2.99 0.994141 1989793 170.67
2.99 0.994531 1989793 182.86
3.01 0.994922 1991092 196.92
3.01 0.995313 1991092 213.33
3.02 0.995703 1992093 232.73
3.04 0.996094 1992822 256.00
3.04 0.996289 1992822 269.47
3.06 0.996484 1993387 284.44
3.06 0.996680 1993387 301.18
3.07 0.996875 1993793 320.00
3.10 0.997070 1994296 341.33
3.13 0.997266 1994577 365.71
3.25 0.997461 1994946 393.85
3.42 0.997656 1995316 426.67
3.60 0.997852 1995714 465.45
3.82 0.998047 1996103 512.00
3.97 0.998145 1996301 538.95
4.13 0.998242 1996516 568.89
4.25 0.998340 1996681 602.35
4.42 0.998437 1996899 640.00
4.54 0.998535 1997076 682.67
4.70 0.998633 1997292 731.43
4.83 0.998730 1997469 787.69
4.99 0.998828 1997689 853.33
5.12 0.998926 1997862 930.91
5.25 0.999023 1998056 1024.00
5.34 0.999072 1998181 1077.89
5.41 0.999121 1998258 1137.78
5.50 0.999170 1998364 1204.71
5.57 0.999219 1998438 1280.00
5.66 0.999268 1998558 1365.33
5.76 0.999316 1998666 1462.86
5.82 0.999365 1998745 1575.38
5.92 0.999414 1998867 1706.67
5.98 0.999463 1998927 1861.82
6.08 0.999512 1999034 2048.00
6.14 0.999536 1999100 2155.79
6.17 0.999561 1999129 2275.56
6.24 0.999585 1999184 2409.41
6.27 0.999609 1999219 2560.00
6.37 0.999634 1999286 2730.67
6.40 0.999658 1999325 2925.71
6.50 0.999683 1999393 3150.77
6.53 0.999707 1999420 3413.33
6.62 0.999731 1999467 3723.64
6.72 0.999756 1999514 4096.00
6.78 0.999768 1999548 4311.58
6.82 0.999780 1999562 4551.11
6.91 0.999792 1999592 4818.82
