Value Percentile TotalCount 1/(1-Percentile)

0.17 0.000000 1 1.00
1.36 0.050000 256248 1.05
1.44 0.100000 546277 1.11
1.47 0.150000 797256 1.18
1.50 0.200000 1051550 1.25
1.53 0.250000 1258956 1.33
1.58 0.300000 1538817 1.43
1.61 0.350000 1752528 1.54
1.66 0.400000 2022219 1.67
1.78 0.450000 2255392 1.82
1.85 0.500000 2504295 2.00
1.90 0.525000 2626315 2.11
1.94 0.550000 2767255 2.22
1.97 0.575000 2883926 2.35
2.00 0.600000 3019337 2.50
2.10 0.625000 3129677 2.67
2.33 0.650000 3251401 2.86
2.46 0.675000 3375739 3.08
2.56 0.700000 3522876 3.33
2.62 0.725000 3636909 3.64
2.70 0.750000 3752888 4.00
2.77 0.762500 3820257 4.21
2.83 0.775000 3891197 4.44
2.86 0.787500 3940873 4.71
2.90 0.800000 4004046 5.00
2.93 0.812500 4073143 5.33
2.96 0.825000 4137077 5.71
2.99 0.837500 4195733 6.15
3.02 0.850000 4253980 6.67
3.06 0.862500 4317712 7.27
3.09 0.875000 4382088 8.00
3.10 0.881250 4411311 8.42
3.12 0.887500 4438967 8.89
3.15 0.893750 4482641 9.41
3.18 0.900000 4512365 10.00
3.21 0.906250 4537342 10.67
3.26 0.912500 4569729 11.43
3.31 0.918750 4597150 12.31
3.41 0.925000 4629000 13.33
3.50 0.931250 4656338 14.55
3.58 0.937500 4695180 16.00
3.60 0.940625 4704407 16.84
3.63 0.943750 4721987 17.78
3.66 0.946875 4740040 18.82
3.68 0.950000 4750187 20.00
3.71 0.953125 4774770 21.33
3.73 0.956250 4789470 22.86
3.74 0.959375 4805818 24.62
3.76 0.962500 4823049 26.67
3.77 0.965625 4839792 29.09
3.79 0.968750 4854557 32.00
3.79 0.970313 4854557 33.68
3.81 0.971875 4867116 35.56
3.82 0.973437 4877735 37.65
3.82 0.975000 4877735 40.00
3.84 0.976562 4886372 42.67
3.85 0.978125 4893665 45.71
3.87 0.979688 4900695 49.23
3.89 0.981250 4907039 53.33
3.92 0.982812 4919122 58.18
3.94 0.984375 4924338 64.00
3.95 0.985156 4929009 67.37
3.97 0.985938 4933254 71.11
3.98 0.986719 4936566 75.29
4.00 0.987500 4939537 80.00
4.01 0.988281 4941909 85.33
4.05 0.989062 4945860 91.43
4.09 0.989844 4950713 98.46
4.13 0.990625 4953283 106.67
4.19 0.991406 4957524 116.36
4.29 0.992188 4962036 128.00
4.32 0.992578 4963268 134.74
4.38 0.992969 4965572 142.22
4.45 0.993359 4967411 150.59
4.51 0.993750 4968888 160.00
4.61 0.994141 4971218 170.67
4.70 0.994531 4972840 182.86
4.83 0.994922 4974672 196.92
5.02 0.995313 4976764 213.33
5.28 0.995703 4978547 232.73
5.79 0.996094 4980537 256.00
6.17 0.996289 4981557 269.47
6.56 0.996484 4982442 284.44
6.97 0.996680 4983456 301.18
7.49 0.996875 4984417 320.00
8.06 0.997070 4985367 341.33
8.64 0.997266 4986342 365.71
9.21 0.997461 4987332 393.85
9.79 0.997656 4988296 426.67
10.43 0.997852 4989347 465.45
11.07 0.998047 4990313 512.00
11.39 0.998145 4990786 538.95
11.78 0.998242 4991281 568.89
12.16 0.998340 4991769 602.35
12.54 0.998437 4992244 640.00
12.93 0.998535 4992687 682.67
13.38 0.998633 4993208 731.43
13.82 0.998730 4993731 787.69
14.21 0.998828 4994161 853.33
14.72 0.998926 4994692 930.91
15.23 0.999023 4995141 1024.00
15.55 0.999072 4995412 1077.89
15.81 0.999121 4995615 1137.78
16.13 0.999170 4995850 1204.71
16.64 0.999219 4996162 1280.00
17.02 0.999268 4996377 1365.33
17.54 0.999316 4996649 1462.86
17.92 0.999365 4996853 1575.38
18.43 0.999414 4997091 1706.67
19.07 0.999463 4997367 1861.82
19.58 0.999512 4997577 2048.00
19.84 0.999536 4997691 2155.79
20.22 0.999561 4997838 2275.56
20.61 0.999585 4997976 2409.41
20.86 0.999609 4998069 2560.00
21.25 0.999634 4998220 2730.67
21.50 0.999658 4998327 2925.71
21.76 0.999683 4998430 3150.77
22.14 0.999707 4998585 3413.33
22.40 0.999731 4998673 3723.64
22.78 0.999756 4998792 4096.00
23.04 0.999768 4998868 4311.58
23.17 0.999780 4998914 4551.11
23.42 0.999792 4998988 4818.82
23.68 0.999805 4999056 5120.00
23.81 0.999817 4999089 5461.33
24.06 0.999829 4999153 5851.43
24.32 0.999841 4999222 6301.54
24.57 0.999854 4999280 6826.67
24.83 0.999866 4999329 7447.27
25.21 0.999878 4999400 8192.00
25.47 0.999884 4999432 8623.16
25.60 0.999890 4999451 9102.22
25.86 0.999896 4999485 9637.65
26.11 0.999902 4999515 10240.00
26.37 0.999908 4999554 10922.67
26.62 0.999915 4999585 11702.86
26.75 0.999921 4999607 12603.08
27.14 0.999927 4999648 13653.33
27.39 0.999933 4999678 14894.55
27.65 0.999939 4999702 16384.00
27.77 0.999942 4999724 17246.32
27.90 0.999945 4999732 18204.44
28.03 0.999948 4999742 19275.29
28.29 0.999951 4999760 20480.00
28.54 0.999954 4999783 21845.33
28.67 0.999957 4999787 23405.71
29.05 0.999960 4999808 25206.15
29.31 0.999963 4999817 27306.67
29.70 0.999966 4999835 29789.09
30.21 0.999969 4999852 32768.00
30.46 0.999971 4999859 34492.63
30.72 0.999973 4999867 36408.89
30.85 0.999974 4999871 38550.59
31.23 0.999976 4999882 40960.00
31.49 0.999977 4999889 43690.67
31.74 0.999979 4999896 46811.43
32.00 0.999980 4999902 50412.31
32.64 0.999982 4999909 54613.33
33.53 0.999983 4999920 59578.18
33.79 0.999985 4999924 65536.00
34.05 0.999986 4999930 68985.26
34.30 0.999986 4999935 72817.78
34.56 0.999987 4999939 77101.18
34.56 0.999988 4999939 81920.00
35.07 0.999989 4999945 87381.33
