Value Percentile TotalCount 1/(1-Percentile)
44.29 0.999997 4999994 291271.11
44.29 0.999997 4999994 308404.71
44.29 0.999997 4999994 327680.00
44.29 0.999997 4999994 349525.33
44.29 0.999997 4999994 374491.43
44.29 0.999998 4999994 403298.46
44.29 0.999998 4999994 436906.67
44.29 0.999998 4999994 476625.45
44.29 0.999998 4999994 524288.00
44.29 0.999998 4999994 551882.11
44.29 0.999998 4999994 582542.22
44.29 0.999998 4999994 616809.41
44.29 0.999998 4999994 655360.00
44.29 0.999999 4999994 699050.67
44.29 0.999999 4999994 748982.86
44.29 0.999999 4999994 806596.92
44.54 0.999999 5000000 873813.33
44.54 1.000000 5000000 inf
