Value Percentile TotalCount 1/(1-Percentile)
35.07 0.999997 4999985 291271.11
35.07 0.999997 4999985 308404.71
35.07 0.999997 4999985 327680.00
35.33 0.999997 4999989 349525.33
35.33 0.999997 4999989 374491.43
35.33 0.999998 4999989 403298.46
35.33 0.999998 4999989 436906.67
35.58 0.999998 4999991 476625.45
35.58 0.999998 4999991 524288.00
35.58 0.999998 4999991 551882.11
35.84 0.999998 4999993 582542.22
35.84 0.999998 4999993 616809.41
35.84 0.999998 4999993 655360.00
35.84 0.999999 4999993 699050.67
36.09 0.999999 4999994 748982.86
36.09 0.999999 4999994 806596.92
36.35 0.999999 4999995 873813.33
36.35 0.999999 4999995 953250.91
205.82 0.999999 4999997 1048576.00
205.82 0.999999 4999997 1103764.21
205.82 0.999999 4999997 1165084.44
205.82 0.999999 4999997 1233618.82
205.82 0.999999 4999997 1310720.00
205.82 0.999999 4999997 1398101.33
205.82 0.999999 4999997 1497965.71
205.82 0.999999 4999997 1613193.85
207.87 0.999999 4999999 1747626.67
207.87 0.999999 4999999 1906501.82
207.87 1.000000 4999999 2097152.00
207.87 1.000000 4999999 2207528.42
207.87 1.000000 4999999 2330168.89
207.87 1.000000 4999999 2467237.65
207.87 1.000000 4999999 2621440.00
207.87 1.000000 4999999 2796202.67
207.87 1.000000 4999999 2995931.43
207.87 1.000000 4999999 3226387.69
207.87 1.000000 4999999 3495253.33
207.87 1.000000 4999999 3813003.64
207.87 1.000000 4999999 4194304.00
207.87 1.000000 4999999 4415056.84
207.87 1.000000 4999999 4660337.78
207.87 1.000000 4999999 4934475.29
210.94 1.000000 5000000 5242880.00
210.94 1.000000 5000000 inf
