Value Percentile TotalCount 1/(1-Percentile)

0.05 0.000000 1 1.00
2.67 0.050000 292176 1.05
2.78 0.100000 584851 1.11
2.80 0.150000 856768 1.18
2.81 0.200000 1165495 1.25
2.83 0.250000 1437669 1.33
2.85 0.300000 1733185 1.43
2.86 0.350000 2012238 1.54
2.86 0.400000 2012238 1.67
2.90 0.450000 2382361 1.82
2.91 0.500000 2520320 2.00
2.94 0.525000 2680709 2.11
2.99 0.550000 2761875 2.22
3.25 0.575000 3021013 2.35
3.25 0.600000 3021013 2.50
3.26 0.625000 3281445 2.67
3.26 0.650000 3281445 2.86
3.28 0.675000 3629975 3.08
3.28 0.700000 3629975 3.33
3.28 0.725000 3629975 3.64
3.29 0.750000 4000564 4.00
3.29 0.762500 4000564 4.21
3.29 0.775000 4000564 4.44
3.29 0.787500 4000564 4.71
3.29 0.800000 4000564 5.00
3.31 0.812500 4371006 5.33
3.31 0.825000 4371006 5.71
3.31 0.837500 4371006 6.15
3.31 0.850000 4371006 6.67
3.31 0.862500 4371006 7.27
3.33 0.875000 4628039 8.00
3.33 0.881250 4628039 8.42
3.33 0.887500 4628039 8.89
3.33 0.893750 4628039 9.41
3.33 0.900000 4628039 10.00
3.33 0.906250 4628039 10.67
3.33 0.912500 4628039 11.43
3.33 0.918750 4628039 12.31
3.33 0.925000 4628039 13.33
3.34 0.931250 4764180 14.55
3.34 0.937500 4764180 16.00
3.34 0.940625 4764180 16.84
3.34 0.943750 4764180 17.78
3.34 0.946875 4764180 18.82
3.34 0.950000 4764180 20.00
3.36 0.953125 4848128 21.33
3.36 0.956250 4848128 22.86
3.36 0.959375 4848128 24.62
3.36 0.962500 4848128 26.67
3.36 0.965625 4848128 29.09
3.36 0.968750 4848128 32.00
3.38 0.970313 4895095 33.68
3.38 0.971875 4895095 35.56
3.38 0.973437 4895095 37.65
3.38 0.975000 4895095 40.00
3.38 0.976562 4895095 42.67
3.38 0.978125 4895095 45.71
3.39 0.979688 4923686 49.23
3.39 0.981250 4923686 53.33
3.39 0.982812 4923686 58.18
3.39 0.984375 4923686 64.00
3.41 0.985156 4938002 67.37
3.41 0.985938 4938002 71.11
3.41 0.986719 4938002 75.29
3.41 0.987500 4938002 80.00
3.42 0.988281 4943868 85.33
3.44 0.989062 4946157 91.43
3.47 0.989844 4951323 98.46
3.49 0.990625 4954564 106.67
3.52 0.991406 4957634 116.36
3.68 0.992188 4961431 128.00
3.77 0.992578 4962999 134.74
3.90 0.992969 4964985 142.22
4.09 0.993359 4966853 150.59
4.38 0.993750 4969215 160.00
4.61 0.994141 4970726 170.67
5.25 0.994531 4972687 182.86
6.14 0.994922 4974692 196.92
7.07 0.995313 4976622 213.33
8.10 0.995703 4978543 232.73
9.15 0.996094 4980538 256.00
9.66 0.996289 4981514 269.47
10.11 0.996484 4982428 284.44
10.62 0.996680 4983458 301.18
11.07 0.996875 4984389 320.00
11.52 0.997070 4985366 341.33
11.97 0.997266 4986393 365.71
12.41 0.997461 4987372 393.85
12.99 0.997656 4988394 426.67
13.50 0.997852 4989303 465.45
14.08 0.998047 4990343 512.00
14.34 0.998145 4990798 538.95
14.59 0.998242 4991240 568.89
14.85 0.998340 4991717 602.35
15.17 0.998437 4992301 640.00
15.42 0.998535 4992755 682.67
15.68 0.998633 4993214 731.43
15.94 0.998730 4993679 787.69
16.25 0.998828 4994240 853.33
16.51 0.998926 4994676 930.91
16.89 0.999023 4995304 1024.00
17.02 0.999072 4995534 1077.89
17.15 0.999121 4995734 1137.78
17.28 0.999170 4995926 1204.71
17.41 0.999219 4996120 1280.00
17.66 0.999268 4996503 1365.33
17.79 0.999316 4996668 1462.86
17.92 0.999365 4996830 1575.38
18.18 0.999414 4997086 1706.67
18.56 0.999463 4997350 1861.82
19.07 0.999512 4997607 2048.00
19.33 0.999536 4997700 2155.79
19.71 0.999561 4997818 2275.56
20.35 0.999585 4997934 2409.41
21.12 0.999609 4998065 2560.00
21.89 0.999634 4998188 2730.67
22.66 0.999658 4998304 2925.71
23.42 0.999683 4998419 3150.77
24.32 0.999707 4998553 3413.33
25.09 0.999731 4998680 3723.64
25.86 0.999756 4998799 4096.00
26.24 0.999768 4998848 4311.58
26.62 0.999780 4998906 4551.11
27.14 0.999792 4998977 4818.82
27.52 0.999805 4999036 5120.00
27.90 0.999817 4999092 5461.33
28.29 0.999829 4999147 5851.43
28.80 0.999841 4999214 6301.54
29.18 0.999854 4999271 6826.67
29.70 0.999866 4999341 7447.27
30.21 0.999878 4999406 8192.00
30.34 0.999884 4999425 8623.16
30.59 0.999890 4999465 9102.22
30.85 0.999896 4999494 9637.65
30.98 0.999902 4999512 10240.00
31.23 0.999908 4999551 10922.67
31.49 0.999915 4999575 11702.86
31.74 0.999921 4999612 12603.08
32.00 0.999927 4999644 13653.33
32.26 0.999933 4999668 14894.55
32.51 0.999939 4999707 16384.00
32.64 0.999942 4999725 17246.32
32.77 0.999945 4999735 18204.44
33.02 0.999948 4999764 19275.29
33.02 0.999951 4999764 20480.00
33.28 0.999954 4999798 21845.33
33.28 0.999957 4999798 23405.71
33.53 0.999960 4999820 25206.15
33.53 0.999963 4999820 27306.67
33.79 0.999966 4999851 29789.09
33.79 0.999969 4999851 32768.00
34.05 0.999971 4999873 34492.63
34.05 0.999973 4999873 36408.89
34.05 0.999974 4999873 38550.59
34.30 0.999976 4999894 40960.00
34.30 0.999977 4999894 43690.67
34.30 0.999979 4999894 46811.43
34.56 0.999980 4999911 50412.31
34.56 0.999982 4999911 54613.33
34.81 0.999983 4999925 59578.18
34.81 0.999985 4999925 65536.00
35.07 0.999986 4999938 68985.26
35.07 0.999986 4999938 72817.78
35.07 0.999987 4999938 77101.18
35.33 0.999988 4999952 81920.00
35.33 0.999989 4999952 87381.33
35.33 0.999989 4999952 93622.86
35.33 0.999990 4999952 100824.62
35.58 0.999991 4999962 109226.67
35.58 0.999992 4999962 119156.36
35.58 0.999992 4999962 131072.00
35.84 0.999993 4999969 137970.53
35.84 0.999993 4999969 145635.56
35.84 0.999994 4999969 154202.35
36.09 0.999994 4999974 163840.00
36.09 0.999994 4999974 174762.67
36.09 0.999995 4999974 187245.71
36.35 0.999995 4999980 201649.23
36.35 0.999995 4999980 218453.33
36.35 0.999996 4999980 238312.73
36.61 0.999996 4999982 262144.00
36.61 0.999996 4999982 275941.05
36.86 0.999997 4999986 291271.11
36.86 0.999997 4999986 308404.71
36.86 0.999997 4999986 327680.00
36.86 0.999997 4999986 349525.33
37.12 0.999997 4999988 374491.43
37.12 0.999998 4999988 403298.46
37.38 0.999998 4999989 436906.67
37.63 0.999998 4999991 476625.45
37.63 0.999998 4999991 524288.00
37.63 0.999998 4999991 551882.11
38.14 0.999998 4999992 582542.22
38.14 0.999998 4999992 616809.41
205.82 0.999998 4999995 655360.00
205.82 0.999999 4999995 699050.67
205.82 0.999999 4999995 748982.86
205.82 0.999999 4999995 806596.92
205.82 0.999999 4999995 873813.33
205.82 0.999999 4999995 953250.91
207.87 0.999999 4999998 1048576.00
207.87 0.999999 4999998 1103764.21
207.87 0.999999 4999998 1165084.44
207.87 0.999999 4999998 1233618.82
207.87 0.999999 4999998 1310720.00
207.87 0.999999 4999998 1398101.33
207.87 0.999999 4999998 1497965.71
207.87 0.999999 4999998 1613193.85
207.87 0.999999 4999998 1747626.67
207.87 0.999999 4999998 1906501.82
207.87 1.000000 4999998 2097152.00
207.87 1.000000 4999998 2207528.42
207.87 1.000000 4999998 2330168.89
207.87 1.000000 4999998 2467237.65
212.99 1.000000 5000000 2621440.00
212.99 1.000000 5000000 inf
