Value Percentile TotalCount 1/(1-Percentile)
35.84 0.999997 4999985 291271.11
35.84 0.999997 4999985 308404.71
35.84 0.999997 4999985 327680.00
36.09 0.999997 4999989 349525.33
36.09 0.999997 4999989 374491.43
36.09 0.999998 4999989 403298.46
36.09 0.999998 4999989 436906.67
36.86 0.999998 4999990 476625.45
206.85 0.999998 4999993 524288.00
206.85 0.999998 4999993 551882.11
206.85 0.999998 4999993 582542.22
206.85 0.999998 4999993 616809.41
206.85 0.999998 4999993 655360.00
206.85 0.999999 4999993 699050.67
207.87 0.999999 4999994 748982.86
207.87 0.999999 4999994 806596.92
209.92 0.999999 4999995 873813.33
209.92 0.999999 4999995 953250.91
211.97 0.999999 4999997 1048576.00
211.97 0.999999 4999997 1103764.21
211.97 0.999999 4999997 1165084.44
211.97 0.999999 4999997 1233618.82
211.97 0.999999 4999997 1310720.00
211.97 0.999999 4999997 1398101.33
211.97 0.999999 4999997 1497965.71
211.97 0.999999 4999997 1613193.85
212.99 0.999999 5000000 1747626.67
212.99 1.000000 5000000 inf
