Value Percentile TotalCount 1/(1-Percentile)

0.07 0.000000 10 1.00
2.67 0.050000 261752 1.05
2.72 0.100000 588761 1.11
2.77 0.150000 757531 1.18
2.81 0.200000 1037433 1.25
2.85 0.250000 1301864 1.33
2.88 0.300000 1603585 1.43
2.91 0.350000 1894778 1.54
2.93 0.400000 2108031 1.67
2.94 0.450000 2316367 1.82
2.98 0.500000 2522413 2.00
3.02 0.525000 2640938 2.11
3.07 0.550000 2767026 2.22
3.13 0.575000 2898409 2.35
3.15 0.600000 3023765 2.50
3.17 0.625000 3178748 2.67
3.18 0.650000 3337334 2.86
3.20 0.675000 3483600 3.08
3.21 0.700000 3595018 3.33
3.23 0.725000 3682819 3.64
3.25 0.750000 3771804 4.00
3.26 0.762500 3837738 4.21
3.28 0.775000 3886596 4.44
3.29 0.787500 3954451 4.71
3.31 0.800000 4082739 5.00
3.31 0.812500 4082739 5.33
3.33 0.825000 4233627 5.71
3.33 0.837500 4233627 6.15
3.34 0.850000 4341984 6.67
3.34 0.862500 4341984 7.27
3.36 0.875000 4401131 8.00
3.38 0.881250 4451384 8.42
3.38 0.887500 4451384 8.89
3.39 0.893750 4497524 9.41
3.41 0.900000 4562697 10.00
3.41 0.906250 4562697 10.67
3.41 0.912500 4562697 11.43
3.42 0.918750 4639508 12.31
3.42 0.925000 4639508 13.33
3.44 0.931250 4727595 14.55
3.44 0.937500 4727595 16.00
3.44 0.940625 4727595 16.84
3.44 0.943750 4727595 17.78
3.46 0.946875 4812443 18.82
3.46 0.950000 4812443 20.00
3.46 0.953125 4812443 21.33
3.46 0.956250 4812443 22.86
3.46 0.959375 4812443 24.62
3.47 0.962500 4863941 26.67
3.47 0.965625 4863941 29.09
3.47 0.968750 4863941 32.00
3.47 0.970313 4863941 33.68
3.47 0.971875 4863941 35.56
3.49 0.973437 4892060 37.65
3.49 0.975000 4892060 40.00
3.49 0.976562 4892060 42.67
3.49 0.978125 4892060 45.71
3.50 0.979688 4907313 49.23
3.50 0.981250 4907313 53.33
3.52 0.982812 4916086 58.18
3.54 0.984375 4921931 64.00
3.57 0.985156 4929619 67.37
3.58 0.985938 4932564 71.11
3.60 0.986719 4934621 75.29
3.63 0.987500 4937783 80.00
3.68 0.988281 4943055 85.33
3.71 0.989062 4945890 91.43
3.74 0.989844 4949243 98.46
3.84 0.990625 4953174 106.67
4.19 0.991406 4957174 116.36
4.45 0.992188 4963248 128.00
4.45 0.992578 4963248 134.74
4.51 0.992969 4965407 142.22
4.61 0.993359 4967387 150.59
4.67 0.993750 4968935 160.00
4.89 0.994141 4970827 170.67
5.31 0.994531 4972678 182.86
6.24 0.994922 4974633 196.92
7.20 0.995313 4976565 213.33
8.26 0.995703 4978617 232.73
9.28 0.996094 4980581 256.00
9.73 0.996289 4981448 269.47
10.24 0.996484 4982436 284.44
10.75 0.996680 4983441 301.18
11.26 0.996875 4984511 320.00
11.71 0.997070 4985513 341.33
12.10 0.997266 4986431 365.71
12.35 0.997461 4987323 393.85
12.93 0.997656 4988349 426.67
13.44 0.997852 4989275 465.45
14.02 0.998047 4990343 512.00
14.27 0.998145 4990826 538.95
14.53 0.998242 4991323 568.89
14.78 0.998340 4991799 602.35
15.04 0.998437 4992288 640.00
15.29 0.998535 4992780 682.67
15.55 0.998633 4993232 731.43
15.81 0.998730 4993714 787.69
16.06 0.998828 4994198 853.33
16.32 0.998926 4994649 930.91
16.64 0.999023 4995196 1024.00
16.77 0.999072 4995399 1077.89
17.02 0.999121 4995805 1137.78
17.15 0.999170 4996001 1204.71
17.28 0.999219 4996212 1280.00
17.41 0.999268 4996394 1365.33
17.66 0.999316 4996777 1462.86
17.79 0.999365 4996953 1575.38
17.92 0.999414 4997111 1706.67
18.18 0.999463 4997437 1861.82
18.30 0.999512 4997577 2048.00
18.43 0.999536 4997696 2155.79
18.69 0.999561 4997883 2275.56
18.82 0.999585 4997975 2409.41
18.94 0.999609 4998052 2560.00
19.20 0.999634 4998181 2730.67
19.58 0.999658 4998318 2925.71
19.97 0.999683 4998435 3150.77
20.48 0.999707 4998548 3413.33
21.38 0.999731 4998660 3723.64
22.53 0.999756 4998798 4096.00
22.91 0.999768 4998841 4311.58
23.42 0.999780 4998902 4551.11
23.93 0.999792 4998968 4818.82
24.45 0.999805 4999038 5120.00
24.83 0.999817 4999085 5461.33
25.47 0.999829 4999163 5851.43
25.86 0.999841 4999207 6301.54
26.37 0.999854 4999273 6826.67
26.88 0.999866 4999338 7447.27
27.39 0.999878 4999395 8192.00
27.65 0.999884 4999428 8623.16
27.90 0.999890 4999455 9102.22
28.16 0.999896 4999482 9637.65
28.54 0.999902 4999522 10240.00
28.80 0.999908 4999547 10922.67
29.18 0.999915 4999587 11702.86
29.44 0.999921 4999606 12603.08
29.70 0.999927 4999634 13653.33
30.08 0.999933 4999666 14894.55
30.46 0.999939 4999708 16384.00
30.59 0.999942 4999719 17246.32
30.72 0.999945 4999729 18204.44
30.85 0.999948 4999744 19275.29
31.10 0.999951 4999768 20480.00
31.23 0.999954 4999775 21845.33
31.36 0.999957 4999790 23405.71
31.49 0.999960 4999802 25206.15
31.74 0.999963 4999823 27306.67
31.87 0.999966 4999836 29789.09
32.13 0.999969 4999855 32768.00
32.26 0.999971 4999868 34492.63
32.26 0.999973 4999868 36408.89
32.38 0.999974 4999875 38550.59
32.51 0.999976 4999885 40960.00
32.64 0.999977 4999895 43690.67
32.64 0.999979 4999895 46811.43
32.77 0.999980 4999903 50412.31
33.02 0.999982 4999916 54613.33
33.28 0.999983 4999933 59578.18
33.28 0.999985 4999933 65536.00
33.28 0.999986 4999933 68985.26
33.28 0.999986 4999933 72817.78
33.53 0.999987 4999943 77101.18
33.53 0.999988 4999943 81920.00
33.53 0.999989 4999943 87381.33
33.79 0.999989 4999953 93622.86
33.79 0.999990 4999953 100824.62
34.05 0.999991 4999957 109226.67
34.30 0.999992 4999968 119156.36
34.30 0.999992 4999968 131072.00
34.30 0.999993 4999968 137970.53
34.30 0.999993 4999968 145635.56
34.30 0.999994 4999968 154202.35
34.56 0.999994 4999972 163840.00
34.56 0.999994 4999972 174762.67
34.81 0.999995 4999974 187245.71
35.07 0.999995 4999980 201649.23
35.07 0.999995 4999980 218453.33
35.07 0.999996 4999980 238312.73
35.33 0.999996 4999981 262144.00
35.58 0.999996 4999982 275941.05
35.84 0.999997 4999986 291271.11
35.84 0.999997 4999986 308404.71
35.84 0.999997 4999986 327680.00
35.84 0.999997 4999986 349525.33
36.35 0.999997 4999989 374491.43
36.35 0.999998 4999989 403298.46
36.35 0.999998 4999989 436906.67
36.86 0.999998 4999990 476625.45
37.12 0.999998 4999991 524288.00
37.12 0.999998 4999991 551882.11
37.38 0.999998 4999993 582542.22
37.38 0.999998 4999993 616809.41
37.38 0.999998 4999993 655360.00
37.38 0.999999 4999993 699050.67
206.85 0.999999 4999994 748982.86
206.85 0.999999 4999994 806596.92
207.87 0.999999 5000000 873813.33
207.87 1.000000 5000000 inf
